Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Country34,878582,954512,1037452,1136778,1151379,1247481,1284800,1381163,1436763,1472621,1506460,1598448,1615156,1675586,1755152,1817987,1882894,1945283,1987078,2001274,2047473,2111486,2176112,2203407,2302420,2384760,2417647,2453034,2542745,2604312,2688214,2776889,2876307,2887763,2908806,2924864,2989466,3075680,3135690,3211235,3253847,3326615,3353642,3451138,3535823,3557762,3568542,3588177,3601157,3612926,3676207,3701255,3737123,3776894,3820192,3850633,3867570,3921151,3969069,4057616,4138679,4216105,4305124,4350542,4425717,4481541,4556224,4617836,4642623,4694433,4708247,4767362,4842436,4887188,4933403,4975144,5028375,5057308,5118145,5202703,5254392,5332842,5427805,5506790,5563171,5603351,5652829,5748751,5813010,5876337,5922349,5997255,6008429,6029191,6088928,6132757,6232685,6324367,6358739,6451209,6529257
Country35,759417,806802,858184,929483,1000807,1040662,1109079,1199957,1264755,1307797,1346875,1394672,1481917,1569233,1594847,1619984,1636589,1734958,1802991,1857900,1897264,1909456,2004550,2067512,2155235,2196428,2239501,2300271,2388018,2434965,2466307,2488134,2575276,2640662,2665169,2712342,2752879,2828925,2853758,2950862,3039830,3106842,3193228,3205840,3266050,3325863,3416930,3466578,3543509,3611179,3667308,3729426,3800431,3822799,3855729,3866304,3961860,3988196,4039831,4136550,4150690,4207010,4269387,4366772,4377443,4436098,4458129,4515822,4599344,4615749,4704648,4794159,4854020,4899172,4972783,5030481,5094335,5148785,5234952,5255361,5293385,5326171,5412207,5507549,5525520,5611506,5683724,5736615,5808597,5856318,5899546,5967972,6042126,6123292,6211363,6239232,6310674,6342693,6366409,6376883,6442763
Country36,908412,937096,1021349,1097261,1170945,1248744,1261711,1321535,1375997,1401142,1458592,1536711,1578261,1605906,1700645,1759173,1850197,1947957,1964882,2030586,2050378,2125140,2152420,2203198,2276705,2324222,2382834,2416764,2446883,2502999,2513599,2590903,2658527,2754117,2771052,2827765,2900877,2994995,3090189,3186114,3244960,3260964,3360809,3450247,3518320,3614847,3693681,3774102,3822614,3837845,3874248,3949412,4040611,4138898,4214960,4285894,4323109,4415952,4491105,4562221,4584324,4601113,4675026,4724559,4752964,4801379,4835734,4908210,4977352,5072570,5130355,5219368,5299833,5351363,5388757,5408437,5480273,5531426,5543648,5617538,5646111,5742757,5821607,5912369,6001748,6074096,6137264,6165241,6180633,6274823,6356192,6401888,6485038,6580490,6678311,6709427,6736486,6832347,6871103,6898285,6996179
Country37,754149,843935,870229,909115,971279,1064713,1143325,1172205,1258083,1328825,1385460,1466618,1538600,1577068,1599122,1656069,1693897,1728774,1761820,1787907,1815380,1865606,1934839,1955879,1983147,2074678,2122663,2203926,2259515,2302728,2345764,2426658,2514178,2541323,2556439,2629652,2714292,2795529,2894519,2957251,2981602,3080599,3114780,3144675,3209936,3258713,3343844,3377944,3392884,3456052,3478210,3512639,3567744,3594469,3635142,3680225,3757556,3785119,3807641,3882915,3920345,3982070,4071623,4160560,4232460,4318994,4348123,4413287,4467644,4480258,4515174,4602326,4631276,4669845,4732022,4794175,4821631,4843694,4870859,4882798,4952524,5002611,5073554,5127157,5147338,5220685,5311525,5384396,5479177,5570240,5662484,5747327,5790109,5810599,5890622,5951987,6013485,6065014,6135135,6191767,6217671
Country38,411768,502413,535214,583330,638394,702586,746539,772571,802293,846969,901533,973459,997767,1083861,1098525,1161099,1208090,1303100,1355401,1440513,1531945,1589964,1678861,1771985,1836930,1931464,2017899,2082225,2146470,2183272,2219550,2304789,2320712,2383965,2482674,2580682,2591506,2645936,2667697,2721991,2801785,2868007,2945779,2956032,2986803,3009553,3042434,3064681,3111497,3204610,3246893,3346577,3380783,3473079,3542874,3569108,3610857,3665793,3754039,3846165,3900513,3943924,3965982,4001672,4084186,4098564,4141921,4202155,4298066,4349921,4442603,4503178,4602887,4699858,4782755,4821815,4869482,4947478,4983617,5065326,5134282,5222234,5236594,5268087,5320079,5400440,5466108,5487866,5531132,5566520,5615400,5698105,5757875,5776275,5859679,5943686,6013552,6033714,6067759,6111190,6197414
Country39,973222,1068645,1128003,1146673,1215904,1273543,1295065,1305213,1367245,1383350,1424212,1444160,1492090,1552373,1619638,1670978,1761052,1819656,1900121,1910586,1924436,1937430,1990695,2019057,2031125,2125929,2204425,2272982,2333622,2349183,2386614,2474761,2562756,2647388,2736783,2768115,2779494,2809737,2869018,2956518,3007760,3050346,3106312,3194006,3262871,3298258,3346481,3434679,3467908,3566751,3593869,3630661,3648800,3717101,3797088,3841601,3924659,3959931,4033751,4070372,4116551,4171547,4205455,4271769,4337986,4380348,4428485,4438758,4462280,4555939,4652188,4737178,4772596,4846640,4870994,4931087,4979409,5056443,5088615,5137080,5207327,5223599,5292282,5390266,5449997,5463087,5512479,5599430,5662993,5747457,5810714,5836771,5904175,5960560,6057673,6154872,6202590,6292303,6351187,6401583,6430070
Country40,856580,931337,1015732,1033564,1063022,1151941,1166027,1206008,1221887,1260684,1331562,1411190,1476073,1494466,1515741,1588456,1650082,1681974,1766461,1796914,1879238,1906255,1939248,1961644,2024723,2076660,2093590,2173054,2252564,2263330,2323375,2404424,2468352,2516765,2546205,2601864,2631094,2725331,2746954,2779354,2836433,2921104,2934948,3024763,3067909,3104990,3176723,3209912,3253496,3306975,3382404,3413752,3428795,3528710,3572119,3615850,3630599,3656126,3723758,3813140,3870817,3968939,4018494,4110382,4167939,4197610,4223718,4306954,4373873,4398795,4426265,4506101,4553606,4608539,4630659,4667526,4763370,4839490,4861364,4872969,4892581,4974426,5019020,5072828,5136707,5209290,5238804,5332145,5417249,5433208,5523059,5561906,5646724,5681019,5738272,5776531,5791662,5818856,5872990,5894888,5947726
Country41,305826,377885,421292,453381,497956,516580,566016,664411,752187,834093,892260,973697,1001978,1067834,1100382,1149259,1162120,1202721,1289178,1373018,1387138,1478938,1553137,1596070,1638132,1694299,1732662,1796552,1809620,1872088,1963537,2040325,2086983,2179354,2211188,2287011,2309436,2350622,2389443,2401889,2447267,2459907,2547437,2588397,2672720,2757311,2840729,2932075,3003179,3046867,3056957,3102469,3128287,3151441,3164259,3228794,3307870,3376313,3456407,3514997,3593571,3684026,3758105,3789994,3868205,3926000,3937813,4021042,4077949,4133358,4144417,4184650,4245576,4269785,4311249,4408272,4430008,4486697,4512841,4558624,4645811,4700839,4742200,4833617,4904835,4999456,5024964,5097906,5172963,5262455,5279455,5320146,5361002,5387272,5476006,5562309,5650148,5700361,5791239,5885406,5969761
Country42,713822,757558,832724,870379,913681,944780,990121,1024255,1068432,1090676,1150517,1242949,1313177,1326267,1402035,1469013,1500117,1525204,1613644,1656768,1755159,1834626,1858879,1935631,2021443,2101479,2160458,2225222,2293233,2314600,2344339,2391259,2457973,2485889,2500310,2519869,2593533,2605634,2705154,2773640,2835573,2865561,2899134,2961158,3044321,3064667,3117943,3141067,3190647,3280615,3293110,3331289,3382278,3412603,3459334,3495240,3558921,3625400,3635924,3684626,3754162,3850765,3891088,3978643,4011187,4099289,4164508,4205048,4256278,4302715,4369243,4384536,4439837,4498693,4573214,4596755,4689615,4766950,4857728,4932767,5009646,5050532,5066016,5139700,5237909,5278112,5301828,5361605,5459780,5472552,5492909,5561103,5634743,5685651,5746946,5846171,5859830,5917816,5974317,6001554,6020021
Country43,596649,611476,696840,748815,767091,860446,905040,946719,1011896,1036900,1056438,1094943,1149114,1237957,1250252,1339189,1387790,1478941,1558939,1584866,1659749,1680957,1730996,1755392,1825551,1873435,1910999,1948793,2039331,2105821,2127176,2190227,2210440,2252019,2268919,2310448,2332939,2354303,2418999,2465910,2536359,2595514,2656445,2737994,2809465,2884312,2940878,2983165,3057642,3073333,3138297,3148466,3171111,3189193,3226453,3306432,3362116,3449879,3478154,3523653,3580649,3620245,3674629,3723691,3820496,3877167,3968043,4046659,4071583,4153421,4178330,4245743,4306463,4375033,4415981,4432955,4461812,4525666,4596207,4625170,4663541,4713095,4774364,4842801,4859717,4943995,5019076,5091811,5182449,5199430,5298305,5397430,5426355,5517689,5608594,5681944,5759854,5799304,5825102,5844909,5916086
Country44,356546,406291,483523,580512,629107,662565,735127,801649,834194,918686,1017332,1106778,1132976,1214107,1243383,1301095,1344001,1422749,1477270,1489493,1545370,1571276,1599069,1623427,1677660,1737033,1751617,1804179,1858557,1910694,1989878,2022438,2045861,2062457,2149176,2239875,2261607,2313569,2353358,2422597,2480070,2573769,2655036,2717472,2735523,2748211,2841115,2914718,3001222,3098909,3174690,3251615,3313434,3336273,3391959,3479779,3501908,3574930,3661622,3722776,3758454,3829086,3898946,3943214,4042037,4104974,4120022,4150973,4220583,4317201,4364561,4454751,4551204,4626040,4693238,4770531,4799495,4884098,4950922,5037582,5087926,5161366,5230888,5293790,5374963,5463030,5542514,5575317,5644472,5733050,5814998,5873982,5967197,6051785,6072148,6098011,6183219,6199783,6233347,6245135,6273168
Country45,868894,951950,1022278,1050520,1124965,1199658,1237873,1279874,1336602,1431153,1506164,1580759,1622390,1645111,1740302,1775145,1802791,1858977,1925639,2003134,2069702,2103211,2141388,2175670,2200295,2292845,2320847,2388862,2412441,2503463,2562349,2656085,2755221,2792960,2872644,2891744,2961896,3013913,3048700,3075740,3111086,3206313,3296166,3320631,3381585,3451757,3481953,3544692,3592360,3627903,3669003,3697593,3713888,3813812,3882427,3979700,4050023,4148763,4165669,4202739,4268710,4296550,4379087,4446486,4458878,4480844,4498860,4514885,4544840,4568085,4627915,4637978,4651444,4678607,4727350,4759804,4831016,4927198,4999760,5039564,5071394,5160936,5175948,5224661,5293553,5390077,5461225,5475688,5497417,5548717,5600361,5680175,5708501,5795290,5821016,5891089,5976899,6010842,6105399,6118723,6130389
Country46,1078232,1163357,1236521,1298361,1369519,1445513,1531629,1594521,1669577,1758589,1781015,1824631,1898265,1947571,1996020,2023636,2074399,2136585,2194492,2256672,2317101,2395876,2452937,2534298,2575918,2659653,2719842,2759474,2788017,2834303,2882241,2907709,2988073,3023303,3096626,3175024,3242787,3258723,3275569,3360597,3450768,3461458,3522537,3588203,3666144,3693960,3761697,3806410,3822332,3913331,3994897,4014551,4053424,4116130,4184401,4270694,4312988,4394371,4460074,4497133,4578893,4676432,4760659,4810135,4824319,4875871,4962308,5009024,5043418,5107827,5130983,5157280,5234658,5263374,5320519,5392850,5438256,5461563,5509670,5593659,5623431,5681523,5724631,5823964,5890947,5975951,6008813,6066377,6124931,6173306,6231284,6330668,6404343,6460600,6531403,6577068,6643576,6697201,6748758,6824833,6849967
Country47,584390,632864,674690,713463,732395,817904,916531,1001074,1091900,1174683,1236577,1254733,1341468,1388608,1424669,1439759,1523350,1540886,1635745,1651144,1679618,1765373,1846456,1924370,1949451,1993825,2056183,2144834,2221232,2286844,2298940,2389546,2483564,2500664,2549474,2606121,2639988,2722352,2817818,2888677,2973563,3013534,3081396,3095139,3187173,3212338,3282551,3313248,3407541,3450003,3537208,3608107,3676938,3772402,3857276,3924974,3944326,4010281,4094462,4194191,4246784,4305045,4404065,4503926,4575026,4587662,4657472,4712073,4739608,4828593,4844609,4910141,4989135,5007566,5081378,5116354,5169056,5254209,5279276,5302718,5364898,5410538,5421477,5449488,5473394,5538721,5559896,5658999,5691415,5731349,5742838,5764461,5817797,5902713,5949559,5984529,6042750,6096000,6131002,6208430,6282974
Country48,436625,452575,549527,608217,626322,705143,723343,788825,808295,834962,888555,955366,973980,1037216,1130040,1188235,1235018,1307166,1339938,1368069,1408396,1503256,1582329,1593593,1643683,1688791,1743524,1819847,1875611,1901188,1920796,1957218,1980744,2014547,2092919,2142214,2218053,2311523,2352653,2444290,2491716,2586799,2678169,2727542,2764781,2779942,2856532,2908097,2924651,3015537,3108363,3152896,3248070,3287002,3316901,3400457,3433217,3498651,3574426,3659579,3686902,3765466,3787653,3883386,3974741,3994925,4093367,4162451,4179594,4258643,4319893,4401244,4459234,4490498,4552690,4563191,4583221,4650987,4677652,4766881,4808317,4866608,4950253,4969308,4991669,5054764,5083192,5175960,5222493,5312711,5411880,5492145,5583276,5658666,5749398,5789549,5804496,5844320,5885979,5954610,6013289
Country49,340935,395662,414502,454878,483183,520645,617039,632771,708435,769996,793393,882528,929578,963722,984936,1082948,1121777,1193653,1210890,1275204,1354810,1400713,1472640,1520491,1543269,1579378,1651119,1720043,1760485,1829160,1857534,1915773,1958757,1974893,2030128,2122738,2166203,2217356,2246714,2267916,2313342,2327755,2350265,2409675,2450067,2525581,2555485,2610345,2705939,2740691,2789835,2889378,2978040,2996255,3087434,3100529,3150717,3207442,3302704,3318821,3350365,3409607,3463398,3554262,3613082,3661494,3756654,3794401,3878121,3968555,3982242,4070807,4098409,4176130,4200179,4281000,4331226,4409708,4448766,4507457,4524265,4569147,4592064,4606308,4620509,4680717,4724909,4777440,4798307,4835928,4848076,4871017,4950103,5036810,5103055,5122084,5201055,5274263,5350669,5443064,5453100
Country50,924002,936180,1030154,1124563,1196394,1255753,1274889,1363044,1441550,1508467,1555901,1599955,1642990,1707562,1803018,1885920,1975665,2019091,2073247,2094669,2142182,2155422,2181414,2213393,2303203,2367275,2389659,2481537,2510450,2599306,2634172,2732317,2798939,2818886,2867243,2944976,2994626,3025721,3078626,3176333,3206503,3282469,3294105,3342096,3386070,3424977,3462815,3546635,3578878,3591178,3635024,3734912,3830287,3901147,3984221,4073306,4090979,4130574,4207454,4265630,4320682,4387895,4463226,4557649,4577650,4615915,4679568,4742226,4817790,4849679,4878042,4940681,5026702,5083673,5175781,5257376,5318662,5359948,5416973,5486181,5523180,5622344,5700563,5777596,5788705,5818241,5854474,5895539,5905689,5974591,6005898,6098854,6156641,6197336,6229010,6322504,6339243,6399798,6491637,6513267,6546125
